RID-SubID,Node,Permutation,charPath,Clust,Degree,Small Worldness,Norm Char Path,Norm Clust
309,10,3,1,1,9,1.164390708,0.954242509,1.111111111
309,10,4,1,1,9,1.164390708,0.954242509,1.111111111
309,10,5,1,1,9,1.164390708,0.954242509,1.111111111
309,100,1,1.383838384,0.788629134,61.32,1.039787104,1.236876232,1.286087956
309,100,2,1.393939394,0.781438389,60.78,1.034150058,1.243227152,1.28568343
309,100,3,1.34,0.799729731,65.34,1.006398125,1.216170017,1.223951226
309,100,4,1.384848485,0.775434939,61.22,1.023719908,1.237288257,1.26663662
309,100,5,1.333737374,0.795062033,66.12,0.990551453,1.213922974,1.202453166
309,150,1,1.479105145,0.744239669,78.84,1.098313185,1.289232548,1.415981106
309,150,2,1.440268456,0.752415537,84.45333333,1.04802232,1.275151208,1.336386927
309,150,3,1.44590604,0.743629147,83.17333333,1.051242606,1.275735384,1.34110739
309,150,4,1.464966443,0.744306043,83.16,1.038713718,1.292505669,1.342543368
309,150,5,1.529306488,0.733335046,73.44,1.142214414,1.311334221,1.497824848
309,500,1,1.818789579,0.620367433,133.064,1.6285726,1.431367978,2.33108667
309,500,2,1.809354709,0.61089817,131.868,1.629706249,1.421314145,2.316324544
309,500,3,1.795943888,0.621739598,135.896,1.611551613,1.419474644,2.287556653
309,500,4,1.868192385,0.612801287,126.9,1.658326035,1.455989128,2.414504678
309,500,5,1.838292585,0.611044875,132.244,1.598942732,1.444888132,2.310293378
309,600,1,1.866950473,0.603864692,143.1233333,1.7474836,1.448662894,2.53151465
309,600,2,1.893478019,0.608527013,144.1,1.722176681,1.471259996,2.533769657
309,600,3,1.856121313,0.609214279,144.4933333,1.753072563,1.443024224,2.529726175
309,600,4,1.89506956,0.601802659,141.4933333,1.739454227,1.467088692,2.551933627
309,600,5,1.86998887,0.603053235,136.5766667,1.84320142,1.43733366,2.649295444
309,850,1,2.018543615,0.582961772,152.3788235,2.161916881,1.504164702,3.251879062
309,850,2,1.957904801,0.588735876,165.0258824,2.045989735,1.482121862,3.032406116
309,850,3,1.979962586,0.577804982,152.6941176,2.179139851,1.476021891,3.216458123
309,850,4,1.972906534,0.57470539,155.3129412,2.13131671,1.475735628,3.145260003
309,850,5,1.999745029,0.577712949,154.1670588,2.13255701,1.493615427,3.185220049
309,1000,1,2.051775776,0.568948073,162.216,2.32038268,1.511538897,3.507348677
309,1000,2,2.087159159,0.57714363,160.774,2.338760673,1.53490785,3.589782116
309,1000,3,2.015429429,0.574072661,165.722,2.323318003,1.491001367,3.464070319
309,1000,4,2.018114114,0.570017046,159.654,2.40898243,1.482089419,3.570327371
309,1000,5,2.04249049,0.577886931,164.35,2.330825469,1.508562853,3.516196718
309,1500,1,2.197722926,0.547323592,182.4293333,2.876352075,1.56458338,4.500292652
309,1500,2,2.203344452,0.549121048,179.4626667,2.935262084,1.563645676,4.589709866
309,1500,3,2.170857016,0.548813208,178.0306667,3.006109052,1.538212245,4.624033753
309,1500,4,2.166513676,0.549798122,187.9626667,2.828461797,1.551217145,4.387558435
