AAL,AAL600,JHU,N=850,N=1000,N=5000
,1768,,1887,1214,498
,1848,,2306,391,392
,2160,,1395,1608,217
,1896,,2023,3143,299
,2128,,1613,1226,442
,2952,,1745,1332,390
,3488,,1918,1381,239
,2632,,1898,1993,271
,2136,,2366,766,394
,2704,,1981,1375,222
,3064,,4731,1004,304
,2600,,2221,2894,316
,1512,,2828,2803,540
,1832,,1738,2053,488
,2016,,3210,2579,437
,1912,,1234,2649,393
,1872,,1206,1698,394
,2152,,1588,1070,174
,2160,,1056,1226,279
,2072,,3375,1681,676
,2056,,2709,2899,339
,1976,,2747,1477,374
,2152,,1716,1350,308
,1752,,1982,2092,295
,2768,,3152,918,131
,2192,,1697,2502,249
,2080,,3118,2097,496
,2648,,1719,948,423
,1472,,2279,1462,385
,2232,,1462,1945,240
,1448,,1870,1534,311
,1232,,2479,1321,168
,1576,,980,1752,350
,1792,,2208,1200,398
,1992,,1862,2155,172
,2096,,2837,952,435
,2128,,1541,1196,637
,2064,,2327,991,402
,1576,,1669,2536,266
,1800,,2400,1571,342
,1952,,2339,2103,474
,2144,,2875,1508,404
,1936,,3243,2381,362
,1792,,1815,1879,560
,2272,,2036,826,295
,2368,,1618,2236,368
,2152,,2453,1429,207
,2264,,1602,1638,326
,1760,,4195,1558,522
,1984,,1616,1796,325
,2272,,3255,3265,282
,2488,,1972,2584,524
,2064,,2672,894,407
,2424,,2541,508,356
,2392,,1221,1195,330
,2224,,3083,2338,212
,1992,,2383,1155,277
,2208,,1792,1413,214
,2032,,1916,2427,470
,2056,,1710,2480,249
,1960,,2288,750,712
,1864,,1721,1636,369
,1848,,1428,2254,288
,1936,,2207,1128,327
,1592,,1839,1068,309
,1600,,2657,1659,489
,3104,,3648,2771,391
,3328,,1422,2654,555
,3392,,2094,3469,404
,2384,,2611,1952,339
,3304,,2679,2260,212
,3320,,3068,2013,853
,1936,,1341,1430,147
,2832,,3224,2863,427
,2040,,4685,1025,378
,2344,,2194,480,413
,1872,,1339,3462,433
,2128,,1416,1997,310
,1776,,1097,1432,339
,2016,,2590,1521,548
,2320,,2227,1555,371
,2264,,1912,2061,191
,2472,,3098,1997,469
,2600,,1171,1370,286
,2240,,1939,3581,361
,1880,,3200,1589,456
,1848,,865,1152,265
,2240,,606,572,174
,2616,,1420,1980,440
,2504,,2143,1798,547
,2984,,4182,1740,371
,3136,,2495,3054,324
,2408,,2235,4264,364
,2400,,2828,1719,1110
,3208,,2293,3865,287
,2408,,2303,2124,494
,2832,,2418,2690,368
,2856,,1804,1559,239
,3672,,1830,1424,214
,2944,,2150,1804,516
,3128,,2252,2572,283
,2800,,2040,903,820
,2936,,2618,1166,288
,3536,,2986,2656,184
,3480,,1679,1941,491
,3664,,2165,1156,409
,1880,,1493,1703,240
,2048,,997,2459,243
,2088,,1493,1560,353
,2328,,2421,3542,370
,2064,,2263,1638,160
,1976,,3357,1042,541
,2104,,394,2021,312
,2296,,1349,3054,216
,1840,,2521,1701,228
,1640,,2178,1028,404
,1968,,2009,755,360
,2080,,1586,2277,241
,1632,,3071,1898,266
,2392,,1130,1560,304
,2120,,1965,1397,374
,1768,,1737,1243,274
,1864,,3634,1265,361
,2152,,1017,1601,461
,2224,,4118,885,319
,1936,,3718,2521,347
,2240,,2805,2464,371
,2408,,723,2629,303
,2840,,840,1458,260
,2816,,2356,3984,386
,2576,,2662,2971,389
,2464,,1630,2083,477
,2272,,1859,2849,416
,1920,,1480,2457,467
,2408,,1957,1429,271
,2696,,1969,1464,401
,2984,,3080,4256,394
,2824,,982,1832,537
,1944,,4162,2363,651
,2032,,1778,1635,269
,1848,,3014,2655,351
,1824,,1204,1621,553
,2272,,1918,1624,281
,2136,,1113,416,321
,1920,,4026,1553,345
,2072,,817,2020,191
,1928,,3581,2444,216
,2096,,2028,1386,176
,1840,,1686,876,279
,1816,,935,682,364
,2064,,852,1684,280
,1880,,3665,1488,431
,1728,,896,3308,248
,1736,,1299,2950,445
,1720,,1651,1264,417
,1928,,993,2083,434
,2144,,1889,2173,537
,1888,,2224,2410,379
,2256,,1958,839,385
,2088,,1249,3022,400
,2064,,642,1461,288
,2000,,2811,2163,514
,1896,,1782,2060,94
,1736,,4202,2260,406
,1912,,1849,2395,260
,1680,,2112,2071,455
,1840,,2259,1579,410
,2064,,2696,1553,313
,1640,,2274,2305,379
,1728,,1452,1916,367
,2136,,2522,1237,386
,1992,,2959,1962,427
,2048,,1576,1851,279
,2080,,1451,2206,258
,2248,,2110,1215,257
,2264,,2039,1510,195
,1744,,1117,1008,468
,2008,,1618,1582,232
,1896,,1574,1161,308
,2472,,2032,2543,210
,2568,,2730,1263,412
,2240,,526,1810,192
,2392,,4331,1163,300
,2144,,2296,1853,313
,1952,,3164,1508,237
,2112,,1361,1082,337
,1528,,2401,2347,329
,1984,,2122,2027,544
,3072,,2756,3715,346
,3136,,1412,1436,345
,2752,,2158,3259,581
,2712,,2756,1785,548
,1992,,1820,2597,559
,2400,,1765,2568,269
,1312,,3377,1294,339
,1576,,2009,436,340
,1192,,2087,1993,373
,1128,,3690,1547,380
,1336,,1892,3678,365
,1480,,1406,2314,328
,1312,,700,1406,175
,1424,,2714,1602,359
,2712,,1926,1286,357
,2624,,1538,2455,292
,2296,,3194,1298,738
,2416,,2178,2028,385
,3696,,2938,2003,374
,3576,,3496,1209,255
,4288,,2606,1165,512
,4232,,3055,1686,843
,1848,,3389,1265,514
,2528,,731,1036,168
,2408,,3808,1875,228
,2600,,1411,2656,436
,3608,,3480,740,508
,3336,,2227,1348,549
,3328,,2295,1491,265
,3744,,2013,2090,382
,1576,,878,3058,346
,1856,,2275,2952,258
,1688,,1735,1540,411
,1944,,2473,1613,326
,2104,,2494,1204,283
,2064,,1891,1267,163
,2088,,2095,2158,394
,1704,,4142,1609,399
,2072,,1364,2269,265
,1944,,1302,1220,412
,2136,,2985,2215,406
,2096,,3164,1664,375
,1208,,1400,1359,497
,1408,,1499,1181,294
,1272,,1458,1678,194
,1064,,2122,1780,269
,1520,,3639,2294,522
,1288,,2876,833,340
,1240,,979,1155,243
,1056,,2041,2292,572
,1232,,1972,1472,194
,1664,,2166,763,329
,1776,,1244,1357,277
,1984,,2638,2357,242
,1824,,1443,1711,444
,1808,,2309,1727,453
,1408,,1065,1352,438
,1744,,1801,2017,480
,1800,,3133,3356,446
,1952,,2386,1918,677
,1904,,599,2272,176
,1920,,1735,2865,488
,2336,,1292,1842,297
,2544,,1810,1596,255
,3080,,1064,1030,356
,2832,,1077,1505,288
,1512,,1669,1552,609
,1632,,4186,1723,606
,1688,,2863,2090,426
,1856,,2366,1860,521
,2184,,1578,1442,312
,2080,,1953,1530,446
,1448,,1349,2254,643
,1984,,1413,1295,352
,2328,,2763,2547,509
,2168,,2143,3317,337
,1952,,1555,2145,417
,1504,,912,1688,286
,1944,,1517,1609,266
,1880,,2142,1355,244
,2008,,1116,2204,469
,2240,,2203,1403,344
,2016,,716,1554,148
,2048,,1350,1256,501
,2128,,2368,2640,360
,2320,,2319,1490,341
,2344,,2242,1022,257
,2240,,2143,1586,266
,2112,,1576,2045,416
,2184,,1387,1965,272
,2272,,2777,1567,531
,2232,,1599,1415,406
,2104,,2973,1283,288
,2208,,3396,1956,322
,1904,,2724,2857,190
,2240,,748,1661,298
,1800,,989,2124,415
,1992,,1081,2306,313
,2096,,1297,2390,273
,2544,,2355,1402,306
,2552,,1476,1142,304
,2344,,2686,2001,429
,2360,,2525,2623,702
,1976,,1566,1216,254
,2320,,2317,1553,349
,2176,,5073,1168,595
,2936,,1857,1450,381
,2800,,2321,786,385
,3336,,3332,817,500
,3464,,3073,1827,232
,2800,,1258,867,484
,3472,,2918,4833,321
,3344,,1341,1476,321
,2976,,2429,1779,462
,2888,,2389,1845,590
,2272,,1510,1573,156
,2512,,1556,1101,677
,2608,,1649,1401,456
,2568,,1259,1905,419
,2768,,1460,1938,591
,2768,,2108,2438,330
,2600,,1617,1695,365
,3096,,1136,1173,272
,2624,,1525,2232,309
,2344,,2780,2069,338
,2536,,416,2371,174
,2312,,2740,1494,639
,2544,,3194,1955,199
,2272,,1746,1089,395
,2616,,2494,1118,298
,1976,,1129,1772,558
,2176,,984,1890,278
,2224,,1451,1049,158
,2408,,1136,1265,318
,2760,,3841,2809,424
,2560,,1480,1050,325
,2256,,2178,1596,470
,2832,,1456,1085,183
,2216,,2025,2360,379
,2472,,1148,1380,454
,2088,,4583,1792,584
,2176,,2114,1145,384
,2616,,2027,2292,313
,2576,,2080,1500,200
,2224,,1698,2668,152
,2584,,2380,1603,366
,2104,,2781,2011,409
,2288,,1384,1445,438
,2104,,3034,1364,562
,1952,,657,1603,246
,1960,,2353,1068,616
,1848,,3771,1974,627
,1784,,5234,1568,527
,2280,,1808,1507,531
,2968,,2510,2194,611
,3072,,2205,1490,154
,4464,,1464,1082,361
,5032,,1415,2017,399
,1720,,2199,891,682
,1704,,2828,1279,276
,1648,,1204,1225,386
,1728,,2945,1291,420
,1600,,3766,1362,595
,1768,,3430,2292,507
,1808,,1713,2901,307
,1624,,1903,1330,365
,1624,,3207,1785,315
,1480,,787,1730,458
,1312,,2326,1509,329
,1696,,5136,2873,646
,1432,,2721,2697,361
,1640,,2356,1981,458
,1464,,2106,1730,374
,1352,,1615,1279,496
,1912,,830,2699,226
,1984,,1155,1848,224
,1896,,1077,1436,109
,2000,,789,1974,194
,1944,,2679,1990,331
,2192,,3172,584,396
,1632,,5473,1256,445
,1656,,2592,1580,256
,1656,,1021,1449,352
,1552,,1018,1529,181
,1608,,2030,1741,422
,1856,,1402,1866,429
,1704,,2064,358,405
,1768,,1564,1628,190
,1640,,2692,6480,304
,1456,,2638,1177,403
,,,1193,2291,326
,,,2953,1223,408
,,,4450,1332,167
,,,2015,995,357
,,,1705,1796,479
,,,900,1688,271
,,,3873,1755,259
,,,652,2402,79
,,,2807,2903,316
,,,4256,2814,554
,,,1176,2168,244
,,,1529,1364,269
,,,1516,1327,455
,,,5811,1456,244
,,,1508,1501,308
,,,2728,1246,340
,,,1641,1686,236
,,,2335,1025,165
,,,3182,2413,459
,,,1880,4339,309
,,,1654,1727,365
,,,1617,3157,299
,,,2474,2441,236
,,,2325,1151,398
,,,1993,1623,411
,,,1745,929,432
,,,1983,2484,350
,,,1726,935,182
,,,1431,2001,249
,,,2311,1086,313
,,,1243,634,435
,,,2823,1891,552
,,,1428,1077,339
,,,1867,2498,248
,,,2722,2285,344
,,,1160,1508,438
,,,3789,437,196
,,,4436,915,359
,,,1378,1828,286
,,,3973,1060,471
,,,2186,2501,170
,,,2223,2198,250
,,,3317,1641,543
,,,1823,800,470
,,,6373,2533,576
,,,2781,2819,591
,,,759,2086,268
,,,1329,1724,517
,,,2503,1649,332
,,,1509,1706,532
,,,1827,1031,245
,,,2416,2523,404
,,,1948,1118,266
,,,1639,1245,406
,,,1596,2166,350
,,,1125,1140,398
,,,958,3919,472
,,,2023,3832,325
,,,1901,1944,341
,,,2546,1514,354
,,,2811,3443,639
,,,3197,1826,267
,,,3235,1706,419
,,,1310,1822,255
,,,1605,1730,267
,,,2184,1985,535
,,,2058,1888,239
,,,1758,1606,396
,,,1475,1626,225
,,,1796,2395,576
,,,1641,1695,304
,,,1387,784,587
,,,1311,1793,350
,,,1658,1048,417
,,,1720,502,469
,,,2430,1274,225
,,,1358,1518,258
,,,2628,2299,288
,,,3486,2358,386
,,,2674,1509,237
,,,1157,1113,156
,,,1749,1743,658
,,,2123,3316,369
,,,1738,2256,232
,,,2179,1170,276
,,,2355,1638,324
,,,1995,1525,383
,,,2608,2429,226
,,,4471,1205,517
,,,1787,1051,221
,,,552,1922,152
,,,2229,1007,501
,,,5147,2292,217
,,,1880,2031,635
